Date,Shares
2024-12-07,59632500
2024-12-11,59632500
2024-12-12,59632500
2024-12-13,60411100
2024-12-14,59632500
2024-12-17,59632500
2024-12-19,59632500
2024-12-24,59632500
2024-12-25,59632500
2024-12-27,59632500
2024-12-28,59632500
2025-01-03,59632500
2025-01-07,59632500
2025-01-11,59632500
2025-01-14,59632500
2025-01-22,59632500
2025-01-23,59632500
2025-01-24,59632500
2025-01-28,59632500
2025-01-29,59632500
2025-01-30,59632500
2025-02-04,59632500
2025-02-05,59632500
2025-02-06,59681200
2025-02-08,62300000
2025-02-08,59681200
2025-02-11,59681200
2025-02-13,59681200
2025-02-14,59681200
2025-02-15,59681200
2025-02-15,61278900
2025-02-19,59681200
2025-02-22,59681200
2025-02-27,59681200
2025-02-28,59681200
2025-03-01,59681200
2025-03-04,59681200
2025-03-04,60859700
2025-03-05,59681200
2025-03-06,59681200
2025-03-07,59681200
2025-03-08,59681200
2025-03-10,61504100
2025-03-11,59681200
2025-03-12,59681200
2025-03-13,59681200
2025-03-18,59681200
2025-03-19,60714000
2025-03-19,59681200
2025-03-21,61250000
2025-03-22,59681200
2025-03-25,59681200
2025-03-26,59732400
2025-03-26,62123400
2025-03-26,59681200
2025-03-27,59681200
2025-03-27,61214300
2025-03-28,59681200
2025-03-29,59681200
2025-04-01,59681200
2025-04-02,59681200
2025-04-04,59681200
2025-04-08,59681200
2025-04-08,62742800
2025-04-12,59681200
2025-04-16,59681200
2025-04-17,59681200
2025-04-17,60081400
2025-04-18,59681200
2025-04-22,60590800
2025-04-23,59681200
2025-04-24,59681200
2025-04-26,59777100
2025-04-29,59681200
2025-04-30,59681200
2025-05-02,59681200
2025-05-03,59681200
2025-05-06,60569100
2025-05-06,59681200
2025-05-06,60031100
2025-05-07,59681200
2025-05-08,59755000
2025-05-09,59755000
2025-05-10,59755000
2025-05-13,59755000
2025-05-16,59755000
2025-05-23,59755000
2025-05-24,59755000
2025-05-28,60694400
2025-05-29,59755000
2025-06-03,59755000
2025-06-04,59755000
2025-06-05,59755000
2025-06-10,61290900
2025-06-11,59755000
2025-06-12,59755000
2025-06-13,59755000
2025-06-14,59755000
2025-06-18,59755000
2025-06-19,59755000
2025-06-24,59755000
2025-06-25,59755000
2025-06-25,61991600
2025-06-26,59755000
2025-06-27,59755000
2025-06-28,59755000
2025-07-02,59755000
2025-07-04,59755000
2025-07-07,59755000
2025-07-12,59755000
2025-07-15,59755000
2025-07-16,61162600
2025-07-16,59755000
2025-07-17,59755000
2025-07-18,59755000
2025-07-19,60344500
2025-07-19,59755000
2025-07-23,59755000
2025-07-31,59755000
2025-08-02,59755000
2025-08-02,60236000
2025-08-05,59755000
2025-08-06,59755000
2025-08-07,59755000
2025-08-08,59755000
2025-08-09,59755000
2025-08-13,59915700
2025-08-14,59915700
2025-08-21,59915700
2025-08-23,59915700
2025-08-26,59915700
2025-08-28,59915700
2025-08-30,60758300
2025-08-30,59915700
2025-09-03,59915700
2025-09-04,60084400
2025-09-04,59915700
2025-09-09,59915700
2025-09-09,60133800
2025-09-10,59915700
2025-09-12,60020700
2025-09-13,60020700
2025-09-16,60020700
2025-09-17,60020700
2025-09-18,60020680
2025-09-20,61082152
2025-09-20,60020680
2025-09-22,60020680
2025-09-23,60020680
2025-09-24,60020680
2025-09-25,60020680
2025-09-26,60956323
2025-09-26,60020680
2025-09-27,60020680
2025-09-30,61248521
2025-10-01,60020680
2025-10-03,60020680
2025-10-06,60020680
2025-10-08,60401787
2025-10-08,60020680
2025-10-11,60020680
